entry_idx,entry_price,entry_time,exit_idx,exit_price,exit_time,pnl
1,103.121535,1,61,121.81,61,0.18122756803416482
81,98.94945,81,84,96.03,84,-0.02950445909502274
106,91.695825,106,119,73.79,119,-0.19527415779289833
130,62.141054999999994,130,134,60.86,134,-0.020615276003923575
220,115.22758499999999,220,225,106.91,225,-0.07218397400240571
278,165.652785,278,280,164.14,280,-0.009132264211555562
596,132.336135,596,599,129.56,599,-0.020977905996725766
602,127.173555,602,606,130.17,606,0.023561856079276817
616,107.35364999999999,616,618,98.19,618,-0.08535946379093763
661,80.330145,661,662,80.29,662,-0.0004997501249374744
666,80.19007500000001,666,669,81.8,669,0.020076362317905175
708,78.69932999999999,708,716,88.31,716,0.1221188287117567
790,137.58876,790,793,137.12,793,-0.0034069643479598417
795,135.717825,795,796,138.02,796,0.016962952360900313
907,118.8594,907,912,108.12,912,-0.09035381299249357
915,102.50122499999999,915,917,83.62,917,-0.18420487169787472
918,81.28061999999998,918,920,77.46,920,-0.04700530089460429
1002,52.606289999999994,1002,1003,55.99,1003,0.06432139578746207
1006,52.2261,1006,1041,45.04,1041,-0.1375959529813638
1045,47.783879999999996,1045,1048,47.96,1048,0.003685761809212741
1101,67.723845,1101,1199,40.58,1199,-0.4008018889063372
